chrom	start	end	exon_0	exon_1	exon_2	exon_3	exon_4	exon_5	exon_6	exon_7
chr21	6444869	6445661	1	1	1	1	0	0	0	0
chr21	6447132	6447777	0	0	0	1	1	1	0	0
chr21	6448481	6448565	1	1	1	1	0	1	0	0
chr21	6449823	6449931	1	1	1	1	0	1	0	0
chr21	6450512	6450646	1	1	1	1	0	1	0	0
chr21	6450904	6450981	1	1	1	1	0	0	0	0
chr21	6452119	6452224	1	1	1	1	0	0	0	0
chr21	6453989	6454073	1	1	1	1	0	0	0	0
chr21	6454631	6454756	1	1	1	1	0	0	0	0
chr21	6455578	6455669	1	1	1	1	0	0	0	0
chr21	6456880	6456950	1	1	1	1	0	0	1	0
chr21	6457065	6457199	1	1	1	1	0	0	1	0
chr21	6457294	6457373	1	1	1	1	0	0	1	0
chr21	6457901	6458055	1	1	1	1	0	0	1	1
chr21	6459456	6460082	1	0	0	0	0	0	0	1
chr21	6460187	6460293	0	1	1	1	0	0	1	1
chr21	6461658	6461713	0	0	0	0	0	0	1	0
chr21	6463663	6463879	0	1	1	1	0	0	0	1
chr21	6464944	6465019	0	1	1	1	0	0	0	1
chr21	6467448	6467534	0	1	0	1	1	0	0	1
chr21	6467903	6468040	0	0	1	0	0	0	0	0
