chrom	start	end	exon_0	exon_1	exon_2	exon_3	exon_4	exon_5	exon_6	exon_7	exon_8	exon_9	exon_10	exon_11	exon_12	exon_13	exon_14
chr2	241734602	241734695	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
chr2	241735132	241735516	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
chr2	241735945	241736243	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr2	241741033	241741090	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
chr2	241742433	241742574	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0
chr2	241743622	241743815	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
chr2	241744709	241744877	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0
chr2	241748827	241750294	1	1	0	1	0	1	0	1	1	1	1	1	1	0	0
chr2	241751246	241751389	1	1	0	1	0	0	1	0	1	1	0	0	1	0	0
chr2	241754521	241754746	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
chr2	241755045	241756014	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1
chr2	241767710	241768816	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1
