chrom	source	feature	start	end	score	strand	frame	attributes	Description	Name	Parent	counts
chr1	HAVANA	gene	141474	173862	.	-	.	ID=ENSG00000241860.7;gene_id=ENSG00000241860.7;gene_type=lncRNA;gene_name=RP11-34P13.13;level=2;tag=ncRNA_host;havana_gene=OTTHUMG00000002480.4	RP11-34P13.13	ENSG00000241860.7	ENSG00000241860.7	6
chr1	HAVANA	gene	257864	359681	.	-	.	ID=ENSG00000228463.10;gene_id=ENSG00000228463.10;gene_type=transcribed_processed_pseudogene;gene_name=AP006222.1;level=1;tag=pseudo_consens;havana_gene=OTTHUMG00000002552.3	AP006222.1	ENSG00000228463.10	ENSG00000228463.10	6
chr1	HAVANA	gene	365389	522928	.	-	.	ID=ENSG00000237094.12;gene_id=ENSG00000237094.12;gene_type=transcribed_unprocessed_pseudogene;gene_name=RP4-669L17.4;level=2;havana_gene=OTTHUMG00000002857.7	RP4-669L17.4	ENSG00000237094.12	ENSG00000237094.12	25
chr1	HAVANA	gene	586071	827796	.	-	.	ID=ENSG00000230021.10;gene_id=ENSG00000230021.10;gene_type=transcribed_processed_pseudogene;gene_name=RP11-206L10.17;level=2;havana_gene=OTTHUMG00000191652.4	RP11-206L10.17	ENSG00000230021.10	ENSG00000230021.10	15
chr1	HAVANA	gene	778747	810065	.	+	.	ID=ENSG00000237491.10;gene_id=ENSG00000237491.10;gene_type=lncRNA;gene_name=LINC01409;level=2;hgnc_id=HGNC:50701;havana_gene=OTTHUMG00000002404.21	LINC01409	ENSG00000237491.10	ENSG00000237491.10	32
chr1	HAVANA	gene	825138	859446	.	+	.	ID=ENSG00000228794.10;gene_id=ENSG00000228794.10;gene_type=lncRNA;gene_name=LINC01128;level=2;hgnc_id=HGNC:49377;havana_gene=OTTHUMG00000196004.1	LINC01128	ENSG00000228794.10	ENSG00000228794.10	27
chr1	HAVANA	gene	923923	944575	.	+	.	ID=ENSG00000187634.13;gene_id=ENSG00000187634.13;gene_type=protein_coding;gene_name=SAMD11;level=2;hgnc_id=HGNC:28706;havana_gene=OTTHUMG00000040719.11	SAMD11	ENSG00000187634.13	ENSG00000187634.13	15
chr1	HAVANA	gene	944203	959309	.	-	.	ID=ENSG00000188976.11;gene_id=ENSG00000188976.11;gene_type=protein_coding;gene_name=NOC2L;level=2;hgnc_id=HGNC:24517;havana_gene=OTTHUMG00000040720.2	NOC2L	ENSG00000188976.11	ENSG00000188976.11	6
chr1	HAVANA	gene	1020120	1056118	.	+	.	ID=ENSG00000188157.15;gene_id=ENSG00000188157.15;gene_type=protein_coding;gene_name=AGRN;level=2;hgnc_id=HGNC:329;tag=overlapping_locus;havana_gene=OTTHUMG00000040778.7	AGRN	ENSG00000188157.15	ENSG00000188157.15	10
chr1	HAVANA	gene	1059708	1069355	.	+	.	ID=ENSG00000217801.10;gene_id=ENSG00000217801.10;gene_type=transcribed_unprocessed_pseudogene;gene_name=RP11-465B22.3;level=2;havana_gene=OTTHUMG00000000629.5	RP11-465B22.3	ENSG00000217801.10	ENSG00000217801.10	6
chr1	HAVANA	gene	1081818	1116361	.	-	.	ID=ENSG00000131591.18;gene_id=ENSG00000131591.18;gene_type=protein_coding;gene_name=C1orf159;level=2;hgnc_id=HGNC:26062;havana_gene=OTTHUMG00000000745.9	C1orf159	ENSG00000131591.18	ENSG00000131591.18	19
chr1	HAVANA	gene	1173880	1197936	.	+	.	ID=ENSG00000162571.14;gene_id=ENSG00000162571.14;gene_type=protein_coding;gene_name=TTLL10;level=2;hgnc_id=HGNC:26693;havana_gene=OTTHUMG00000000851.6	TTLL10	ENSG00000162571.14	ENSG00000162571.14	8
chr1	HAVANA	gene	1216909	1232067	.	-	.	ID=ENSG00000078808.19;gene_id=ENSG00000078808.19;gene_type=protein_coding;gene_name=SDF4;level=2;hgnc_id=HGNC:24188;havana_gene=OTTHUMG00000001812.7	SDF4	ENSG00000078808.19	ENSG00000078808.19	8
chr1	HAVANA	gene	1253909	1273864	.	-	.	ID=ENSG00000160087.21;gene_id=ENSG00000160087.21;gene_type=protein_coding;gene_name=UBE2J2;level=2;hgnc_id=HGNC:19268;havana_gene=OTTHUMG00000001911.9	UBE2J2	ENSG00000160087.21	ENSG00000160087.21	20
chr1	HAVANA	gene	1280436	1292029	.	+	.	ID=ENSG00000162572.21;gene_id=ENSG00000162572.21;gene_type=protein_coding;gene_name=SCNN1D;level=2;hgnc_id=HGNC:10601;havana_gene=OTTHUMG00000002081.8	SCNN1D	ENSG00000162572.21	ENSG00000162572.21	8
chr1	HAVANA	gene	1292390	1309609	.	-	.	ID=ENSG00000131584.19;gene_id=ENSG00000131584.19;gene_type=protein_coding;gene_name=ACAP3;level=2;hgnc_id=HGNC:16754;tag=ncRNA_host;havana_gene=OTTHUMG00000002235.5	ACAP3	ENSG00000131584.19	ENSG00000131584.19	13
chr1	HAVANA	gene	1311585	1324687	.	-	.	ID=ENSG00000127054.21;gene_id=ENSG00000127054.21;gene_type=protein_coding;gene_name=INTS11;level=1;hgnc_id=HGNC:26052;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000003330.13	INTS11	ENSG00000127054.21	ENSG00000127054.21	50
chr1	HAVANA	gene	1335276	1349418	.	-	.	ID=ENSG00000107404.20;gene_id=ENSG00000107404.20;gene_type=protein_coding;gene_name=DVL1;level=2;hgnc_id=HGNC:3084;tag=ncRNA_host;havana_gene=OTTHUMG00000003069.5	DVL1	ENSG00000107404.20	ENSG00000107404.20	8
chr1	HAVANA	gene	1352689	1361777	.	-	.	ID=ENSG00000162576.17;gene_id=ENSG00000162576.17;gene_type=protein_coding;gene_name=MXRA8;level=2;hgnc_id=HGNC:7542;havana_gene=OTTHUMG00000002973.5	MXRA8	ENSG00000162576.17	ENSG00000162576.17	10
chr1	HAVANA	gene	1373730	1375495	.	-	.	ID=ENSG00000175756.13;gene_id=ENSG00000175756.13;gene_type=protein_coding;gene_name=AURKAIP1;level=2;hgnc_id=HGNC:24114;havana_gene=OTTHUMG00000001413.3	AURKAIP1	ENSG00000175756.13	ENSG00000175756.13	6
chr1	HAVANA	gene	1385711	1399335	.	-	.	ID=ENSG00000221978.12;gene_id=ENSG00000221978.12;gene_type=protein_coding;gene_name=CCNL2;level=2;hgnc_id=HGNC:20570;havana_gene=OTTHUMG00000002917.7	CCNL2	ENSG00000221978.12	ENSG00000221978.12	20
chr1	HAVANA	gene	1399520	1402046	.	+	.	ID=ENSG00000224870.7;gene_id=ENSG00000224870.7;gene_type=lncRNA;gene_name=MRPL20-AS1;level=2;hgnc_id=HGNC:27125;havana_gene=OTTHUMG00000002908.6	MRPL20-AS1	ENSG00000224870.7	ENSG00000224870.7	9
chr1	HAVANA	gene	1401909	1407293	.	-	.	ID=ENSG00000242485.6;gene_id=ENSG00000242485.6;gene_type=protein_coding;gene_name=MRPL20;level=1;hgnc_id=HGNC:14478;tag=ncRNA_host;havana_gene=OTTHUMG00000002916.4	MRPL20	ENSG00000242485.6	ENSG00000242485.6	6
chr1	HAVANA	gene	1471765	1497848	.	+	.	ID=ENSG00000160072.20;gene_id=ENSG00000160072.20;gene_type=protein_coding;gene_name=ATAD3B;level=2;hgnc_id=HGNC:24007;havana_gene=OTTHUMG00000000577.6	ATAD3B	ENSG00000160072.20	ENSG00000160072.20	6
chr1	HAVANA	gene	1512162	1534685	.	+	.	ID=ENSG00000197785.14;gene_id=ENSG00000197785.14;gene_type=protein_coding;gene_name=ATAD3A;level=2;hgnc_id=HGNC:25567;havana_gene=OTTHUMG00000000575.7	ATAD3A	ENSG00000197785.14	ENSG00000197785.14	8
chr1	HAVANA	gene	1615454	1630605	.	+	.	ID=ENSG00000197530.13;gene_id=ENSG00000197530.13;gene_type=protein_coding;gene_name=MIB2;level=1;hgnc_id=HGNC:30577;havana_gene=OTTHUMG00000074647.10	MIB2	ENSG00000197530.13	ENSG00000197530.13	32
chr1	HAVANA	gene	1632163	1635263	.	+	.	ID=ENSG00000189409.14;gene_id=ENSG00000189409.14;gene_type=protein_coding;gene_name=MMP23B;level=2;hgnc_id=HGNC:7171;havana_gene=OTTHUMG00000074713.7	MMP23B	ENSG00000189409.14	ENSG00000189409.14	10
chr1	HAVANA	gene	1635225	1659012	.	-	.	ID=ENSG00000248333.9;gene_id=ENSG00000248333.9;gene_type=protein_coding;gene_name=CDK11B;level=2;hgnc_id=HGNC:1729;havana_gene=OTTHUMG00000078638.6	CDK11B	ENSG00000248333.9	ENSG00000248333.9	9
chr1	HAVANA	gene	1702379	1724357	.	-	.	ID=ENSG00000008128.23;gene_id=ENSG00000008128.23;gene_type=protein_coding;gene_name=CDK11A;level=2;hgnc_id=HGNC:1730;tag=overlapping_locus;havana_gene=OTTHUMG00000000703.16	CDK11A	ENSG00000008128.23	ENSG00000008128.23	23
chr1	HAVANA	gene	1751232	1780457	.	-	.	ID=ENSG00000008130.15;gene_id=ENSG00000008130.15;gene_type=protein_coding;gene_name=NADK;level=2;hgnc_id=HGNC:29831;havana_gene=OTTHUMG00000000942.6	NADK	ENSG00000008130.15	ENSG00000008130.15	17
